name,age,gender,caste,religion,occupation,education,annual_income,marital_status,district,family_size,ration_card_type,disability_status,bank_account,land_ownership,land_holding_acres,recommended_scheme
Balu,37,Male,SC,Others,Unorganised Worker,10th Pass,144334.48,Married,Krishnagiri,7.0,BPL,No,Yes,No,0.0,PMAY (Pradhan Mantri Awas Yojana)
,59,Male,SC,Others,Employee,10th Pass,149660.07,Married,Dindigul,6.0,APL,No,Yes,No,0.0,Tamil Nadu Housing Board Scheme
Rajan,25,Male,SC,Muslim,Unorganised Worker,Graduate,61887.41,Married,Dindigul,6.0,APL,No,Yes,No,0.0,Amma Mini Clinic
Kavitha,26,Female,SC,Christian,Student,10th Pass,93576.92,Single,Madurai,5.0,BPL,No,Yes,No,0.0,Moovalur Ramamirtham Ammaiyar Higher Education Scheme
Rekha,39,Female,MBC,Others,Self-employed,Graduate,216993.23,Married,Ramanathapuram,3.0,BPL,No,Yes,No,0.0,MSME Subsidy Scheme
Vijay,54,Female,MBC,Christian,Homemaker,8th Pass,56288.27,Married,Cuddalore,2.0,BPL,No,Yes,No,0.0,Micro Credit for Women SHGs
Kavitha,57,Male,MBC,Hindu,Unorganised Worker,Graduate,28010.2,Married,Nagapattinam,7.0,BPL,,Yes,No,0.0,Anaithu Grama Anna Marumalarchi Thittam
,22,Male,BC,Christian,Homemaker,Graduate,68045.1,,Tirunelveli,3.0,BPL,No,Yes,No,0.0,Free Colour TV Scheme
Priya,57,Male,MBC,Christian,Unorganised Worker,8th Pass,116834.06,Single,Krishnagiri,1.0,APL,No,Yes,No,0.0,Amma Canteen Scheme
Balu,48,Male,MBC,Others,Student,8th Pass,212272.13,Single,Villupuram,2.0,BPL,No,Yes,No,0.08,Chief Minister's Green Tamil Nadu Mission
Anitha,42,Female,OC,Christian,Homemaker,Post Graduate,99505.08,Married,Cuddalore,2.0,BPL,No,Yes,No,0.0,Kalaignar Magalir Urimai Thogai
Sumathy,33,Female,MBC,Others,Employee,Graduate,189398.48,Single,Cuddalore,3.0,APL,No,Yes,No,0.0,Amma Two Wheeler Scheme
Kavitha,25,Female,BC,Christian,Homemaker,Post Graduate,101805.4,Married,Tirunelveli,5.0,BPL,No,Yes,No,0.0,Tamil Nadu Maternity Benefit Scheme
Nithya,19,Female,BC,Hindu,Homemaker,No Formal Education,85410.2,Married,Madurai,2.0,BPL,No,Yes,No,0.0,Dr. Muthulakshmi Reddy Maternity Benefit Scheme
Venkat,20,Female,MBC,Muslim,Student,Post Graduate,118120.66,Single,Ramanathapuram,3.0,BPL,No,Yes,No,0.0,Marriage Assistance Scheme (Moovalur)
Kavitha,30,Female,MBC,Hindu,Homemaker,5th Pass,24544.95,Married,Sivaganga,2.0,BPL,No,Yes,No,0.0,Cradle Baby Scheme
Venkat,45,Female,MBC,Muslim,Homemaker,Post Graduate,77193.53,Married,Krishnagiri,3.0,BPL,No,Yes,No,0.0,Free Sewing Machine Scheme
Divya,37,Male,MBC,Hindu,Farmer,Graduate,76721.3,Single,Kancheepuram,3.0,APL,No,Yes,Yes,2.22,PM Kisan Samman Nidhi
Meena,51,Female,MBC,Muslim,Farmer,5th Pass,95908.9,Married,Salem,4.0,BPL,No,Yes,Yes,1.87,Free Distribution of Seeds and Fertilizers
Geetha,52,Female,MBC,Muslim,Farmer,5th Pass,167580.47,Married,Tirunelveli,5.0,BPL,No,Yes,Yes,3.3,Free Borewell Scheme for Farmers
Kumar,53,Male,OC,Others,Farmer,Post Graduate,184810.83,Married,Kancheepuram,6.0,APL,,Yes,Yes,1.72,Crop Insurance Scheme (PMFBY)
Rekha,40,Male,OC,Hindu,Farmer,5th Pass,335109.82,Married,Tiruchirappalli,3.0,BPL,No,Yes,Yes,3.11,Kisan Credit Card Scheme
Murugan,54,Male,SC,Muslim,Farmer,8th Pass,173977.29,Married,Thoothukudi,6.0,BPL,No,Yes,Yes,2.29,Solar Pump Scheme for Farmers
Priya,37,Male,MBC,Christian,Farmer,Post Graduate,138748.26,Married,Nagapattinam,2.0,BPL,,Yes,Yes,3.7,Coconut Development Board Subsidy
Geetha,38,Male,MBC,Christian,Fisher,Graduate,64463.54,Married,Sivaganga,2.0,BPL,No,Yes,No,0.0,Free Boat and Net Scheme
Vijay,29,Male,SC,Christian,Fisher,No Formal Education,131301.06,Married,Sivaganga,4.0,APL,No,Yes,No,0.0,Fishermen Accident Relief Scheme
Nithya,39,Male,BC,Hindu,Fisher,5th Pass,74330.89,Married,Virudhunagar,7.0,BPL,No,Yes,No,0.0,Fishermen Housing Scheme
Priya,45,Male,MBC,Muslim,Fisher,10th Pass,26136.68,Married,Kancheepuram,2.0,BPL,No,Yes,No,0.0,Fishermen Saving-cum-Relief Scheme
Sumathy,7,Female,MBC,Christian,Student,No Formal Education,32112.07,Single,Madurai,2.0,BPL,No,No,No,0.0,Chief Minister's Breakfast Scheme
Lakshmi,21,Male,BC,Christian,Student,12th Pass,119388.54,Single,Thanjavur,6.0,BPL,No,Yes,No,0.0,Free Laptop Scheme
Murugan,22,Female,ST,Others,Student,10th Pass,173112.44,Single,Erode,2.0,APL,No,Yes,No,0.0,Pudhumai Penn Scheme
Anitha,20,Female,MBC,Hindu,Unemployed,Post Graduate,165151.15,Single,Erode,5.0,APL,,Yes,No,0.0,CM Internship Programme
Vijay,22,Male,BC,Hindu,Unemployed,Post Graduate,135461.01,,Chennai,3.0,BPL,No,Yes,No,0.0,SEED Scheme (Educated Unemployed)
Karthik,18,Male,ST,Hindu,Student,Post Graduate,54653.83,Single,Thanjavur,2.0,BPL,No,No,No,,Free Bus Pass for Students
Meena,18,Male,SC,Hindu,Student,10th Pass,62251.16,Single,Kancheepuram,3.0,APL,No,Yes,No,0.0,Dr. Ambedkar Law Entrance Scholarship
Balu,25,Female,SC,Christian,Unorganised Worker,10th Pass,56097.29,Married,Dindigul,6.0,BPL,No,Yes,No,0.0,Free Housing Scheme (SC/ST)
Kavitha,23,Male,SC,Others,Student,Graduate,149874.44,Single,Chennai,3.0,APL,No,Yes,No,0.0,Adi Dravidar Welfare Scholarship
Venkat,21,Male,SC,Christian,Self-employed,10th Pass,171197.02,Single,Nagapattinam,5.0,APL,No,Yes,No,0.0,SC/ST Entrepreneur Support Scheme
Kavitha,44,Female,SC,Hindu,Self-employed,Post Graduate,,Married,Erode,5.0,BPL,No,Yes,No,0.0,Inter-Caste Marriage Incentive
Anitha,71,Male,OC,Hindu,Unemployed,Post Graduate,70508.17,Widowed,Tirunelveli,2.0,BPL,Yes,Yes,No,0.0,Disability Pension Scheme
Meena,30,Male,MBC,Others,Student,8th Pass,93963.77,Married,,2.0,BPL,Yes,Yes,No,0.0,Free Tricycle and Aids Scheme
Meena,53,Female,SC,Christian,Homemaker,8th Pass,43709.53,Single,Thanjavur,2.0,BPL,Yes,Yes,No,0.0,Transgender Welfare Scheme
Divya,18,Female,ST,Others,Student,No Formal Education,59801.15,Single,,3.0,BPL,Yes,No,No,0.0,Special School Assistance
Divya,24,Female,SC,Christian,Student,12th Pass,81641.58,Single,Cuddalore,4.0,BPL,No,Yes,No,0.0,CM Youth Sports Incentive
Arjun,45,Male,SC,Muslim,Unemployed,12th Pass,28480.62,Married,Tirunelveli,4.0,BPL,No,Yes,No,0.0,Self-Employment Loan Scheme (NEEDS)
Priya,40,Female,MBC,Others,Unorganised Worker,8th Pass,95822.49,Married,Coimbatore,6.0,BPL,No,Yes,No,0.0,Unorganised Workers Welfare Scheme
Arjun,29,Male,BC,Christian,Construction Worker,8th Pass,113507.72,Married,Dindigul,3.0,BPL,No,Yes,No,0.0,Construction Workers Welfare Scheme
Sangeetha,52,Male,BC,Muslim,Toddy Tapper,8th Pass,38298.52,Married,Nagapattinam,6.0,BPL,No,Yes,No,0.0,TASMAC Toddy Tappers Welfare Scheme
Kumar,68,Female,OC,Christian,Homemaker,Post Graduate,16469.41,Married,Kancheepuram,1.0,BPL,No,Yes,No,0.0,Old Age Pension Scheme (IGNOAPS)
Geetha,70,Female,OC,Others,Unorganised Worker,5th Pass,10011.58,Widowed,Nagapattinam,2.0,,No,Yes,No,0.0,Widow Pension Scheme
Meena,41,Female,BC,Hindu,Homemaker,No Formal Education,466515.28,Married,Erode,5.0,APL,No,Yes,Yes,0.96,CMCHIS – Chief Minister's Health Insurance
,39,Male,BC,Hindu,Homemaker,Graduate,129054.5,Married,Chennai,3.0,BPL,No,Yes,No,0.0,Free Ration Scheme (PDS)
Sangeetha,51,Female,ST,Others,Unorganised Worker,5th Pass,217316.02,Married,Thanjavur,6.0,BPL,No,Yes,No,0.0,PMAY (Pradhan Mantri Awas Yojana)
Anitha,52,Female,MBC,Muslim,Employee,Graduate,327219.92,Married,Chennai,4.0,APL,No,Yes,No,0.0,Tamil Nadu Housing Board Scheme
Vijay,66,Female,BC,Hindu,Homemaker,10th Pass,79663.77,Married,Kancheepuram,3.0,BPL,No,Yes,No,0.0,Amma Mini Clinic
Kavitha,25,Female,BC,Hindu,Student,Post Graduate,113633.63,Single,Cuddalore,4.0,APL,No,Yes,No,0.0,Moovalur Ramamirtham Ammaiyar Higher Education Scheme
Arjun,50,Male,BC,Christian,Self-employed,Post Graduate,413721.15,Married,Namakkal,5.0,APL,No,Yes,No,0.0,MSME Subsidy Scheme
,48,Female,BC,Christian,Homemaker,Graduate,92481.8,Married,Kancheepuram,4.0,BPL,No,Yes,No,0.0,Micro Credit for Women SHGs
Divya,50,Male,SC,Muslim,Unorganised Worker,No Formal Education,54119.05,Married,Villupuram,4.0,BPL,No,Yes,No,0.0,Anaithu Grama Anna Marumalarchi Thittam
Kumar,58,Female,ST,Muslim,Homemaker,No Formal Education,54324.77,Married,Salem,7.0,BPL,No,Yes,No,0.0,Free Colour TV Scheme
Sangeetha,23,Male,BC,Others,Student,Graduate,141114.0,Married,Thanjavur,3.0,BPL,No,Yes,No,0.0,Amma Canteen Scheme
Anitha,65,Female,SC,Christian,Employee,12th Pass,283883.22,Single,Tiruchirappalli,3.0,BPL,No,Yes,Yes,0.78,Chief Minister's Green Tamil Nadu Mission
Selvam,39,Female,MBC,Hindu,Homemaker,Graduate,42621.22,Married,Krishnagiri,5.0,APL,No,Yes,No,0.0,Kalaignar Magalir Urimai Thogai
Sumathy,40,Female,SC,Hindu,Employee,Post Graduate,161505.94,,Namakkal,5.0,BPL,No,Yes,No,0.0,Amma Two Wheeler Scheme
Arjun,26,Female,ST,Muslim,Homemaker,5th Pass,,Married,Vellore,4.0,BPL,No,Yes,No,0.0,Tamil Nadu Maternity Benefit Scheme
Rajan,37,Female,SC,Muslim,Homemaker,12th Pass,39779.26,Married,Salem,3.0,BPL,No,Yes,No,0.0,Dr. Muthulakshmi Reddy Maternity Benefit Scheme
Venkat,19,Female,BC,Others,Student,Graduate,94301.07,Single,Sivaganga,4.0,BPL,No,Yes,No,0.0,Marriage Assistance Scheme (Moovalur)
,20,Female,BC,Muslim,Homemaker,Graduate,77484.06,Married,Madurai,5.0,BPL,No,Yes,No,0.0,Cradle Baby Scheme
Venkat,50,Female,MBC,Others,Homemaker,12th Pass,29308.4,Married,Ramanathapuram,3.0,BPL,No,Yes,No,0.0,Free Sewing Machine Scheme
Kumar,36,Female,SC,Christian,Farmer,5th Pass,147080.93,Married,Madurai,6.0,APL,No,Yes,Yes,3.22,PM Kisan Samman Nidhi
Karthik,30,Male,ST,Others,Farmer,No Formal Education,115742.68,Married,Villupuram,6.0,BPL,No,Yes,Yes,1.04,Free Distribution of Seeds and Fertilizers
Anitha,46,Male,SC,Others,Farmer,8th Pass,60867.37,Married,Thoothukudi,5.0,BPL,No,Yes,Yes,3.74,Free Borewell Scheme for Farmers
Priya,62,Male,MBC,Hindu,Farmer,,96566.85,Married,Namakkal,6.0,BPL,No,Yes,Yes,1.83,Crop Insurance Scheme (PMFBY)
Priya,62,Male,SC,Muslim,Farmer,10th Pass,264501.28,Married,Tirunelveli,3.0,APL,No,Yes,Yes,2.31,Kisan Credit Card Scheme
Divya,44,Female,MBC,Others,Farmer,12th Pass,70669.07,Married,Cuddalore,7.0,BPL,No,Yes,Yes,,Solar Pump Scheme for Farmers
Lakshmi,37,Male,BC,Christian,Farmer,No Formal Education,142197.56,Married,Vellore,4.0,APL,No,Yes,Yes,3.68,Coconut Development Board Subsidy
Rekha,33,Male,SC,Christian,Fisher,8th Pass,88745.25,Married,Chennai,6.0,BPL,No,Yes,No,0.0,Free Boat and Net Scheme
Karthik,48,Male,SC,Christian,Fisher,5th Pass,46854.21,Married,Tirunelveli,6.0,BPL,No,Yes,No,0.0,Fishermen Accident Relief Scheme
,47,Male,BC,Muslim,Fisher,Post Graduate,91364.78,Married,Sivaganga,7.0,BPL,No,Yes,No,0.0,Fishermen Housing Scheme
Kumar,53,Male,MBC,Others,Fisher,Post Graduate,84406.38,Married,Tirunelveli,4.0,BPL,No,Yes,No,0.0,Fishermen Saving-cum-Relief Scheme
Kavitha,7,Male,MBC,Hindu,Student,No Formal Education,68647.45,Single,Coimbatore,2.0,BPL,No,,No,0.0,Chief Minister's Breakfast Scheme
Selvam,18,Female,ST,Others,Student,10th Pass,103202.08,Single,Erode,4.0,APL,No,Yes,No,0.0,Free Laptop Scheme
Murugan,19,Female,SC,,Student,10th Pass,147706.27,Single,Dindigul,5.0,APL,No,Yes,No,0.0,Pudhumai Penn Scheme
Anitha,26,Female,MBC,Others,Unemployed,Post Graduate,187101.74,Single,Cuddalore,3.0,APL,No,Yes,No,0.0,CM Internship Programme
Balu,29,Male,SC,Others,Unemployed,Graduate,41829.22,Single,Erode,3.0,BPL,No,Yes,No,0.0,SEED Scheme (Educated Unemployed)
Kumar,24,Male,SC,Hindu,Student,,54131.45,Single,Ramanathapuram,6.0,BPL,No,No,No,0.0,Free Bus Pass for Students
Vijay,25,Female,SC,Christian,Student,Graduate,47724.55,Single,Thanjavur,2.0,APL,No,Yes,No,0.0,Dr. Ambedkar Law Entrance Scholarship
Nithya,42,Female,SC,Christian,Farmer,,30068.21,Married,Coimbatore,7.0,BPL,No,Yes,No,0.0,Free Housing Scheme (SC/ST)
Selvam,10,Male,SC,Muslim,Student,No Formal Education,165458.41,Single,Ramanathapuram,4.0,APL,No,Yes,No,0.0,Adi Dravidar Welfare Scholarship
Sumathy,30,Male,SC,Muslim,Self-employed,Graduate,73328.03,Single,Coimbatore,3.0,APL,No,Yes,No,0.0,SC/ST Entrepreneur Support Scheme
Priya,23,Female,SC,Muslim,Self-employed,12th Pass,160617.23,Married,Dindigul,4.0,APL,No,Yes,No,0.0,Inter-Caste Marriage Incentive
Sangeetha,62,Female,SC,Muslim,Unorganised Worker,10th Pass,46840.21,Single,Tirunelveli,2.0,BPL,Yes,Yes,No,0.0,Disability Pension Scheme
,57,Male,SC,Muslim,Student,8th Pass,90795.97,Single,Tiruchirappalli,1.0,BPL,Yes,Yes,No,0.0,Free Tricycle and Aids Scheme
Vijay,49,Female,SC,Christian,Homemaker,5th Pass,15479.11,Single,Vellore,4.0,BPL,Yes,Yes,No,0.0,Transgender Welfare Scheme
Sangeetha,11,Female,ST,Christian,Student,8th Pass,77301.98,Single,Madurai,6.0,BPL,Yes,No,No,0.0,Special School Assistance
Priya,18,Female,ST,Hindu,Student,Post Graduate,129540.47,,Sivaganga,2.0,APL,No,Yes,No,0.0,CM Youth Sports Incentive
Rekha,33,Male,MBC,Christian,Unemployed,Post Graduate,120467.7,Single,Tirunelveli,4.0,BPL,No,Yes,No,0.0,Self-Employment Loan Scheme (NEEDS)
Sumathy,39,Female,MBC,Christian,Unorganised Worker,No Formal Education,20748.98,Married,Nagapattinam,4.0,BPL,No,Yes,No,0.0,Unorganised Workers Welfare Scheme
Selvam,28,Male,MBC,Christian,Construction Worker,Graduate,85746.22,Married,Ramanathapuram,5.0,BPL,No,Yes,No,0.0,Construction Workers Welfare Scheme
Lakshmi,49,Male,ST,Christian,Toddy Tapper,No Formal Education,45742.03,Married,Tirunelveli,6.0,BPL,No,Yes,No,0.0,TASMAC Toddy Tappers Welfare Scheme
Karthik,71,Female,MBC,Hindu,Farmer,Graduate,182654.02,Married,Namakkal,5.0,BPL,No,Yes,No,0.0,Old Age Pension Scheme (IGNOAPS)
Murugan,59,Female,SC,Christian,Homemaker,No Formal Education,42924.81,Widowed,Vellore,4.0,BPL,No,Yes,No,0.0,Widow Pension Scheme
,19,Female,ST,Others,Self-employed,Graduate,351259.53,Married,Vellore,2.0,BPL,No,Yes,Yes,2.21,CMCHIS – Chief Minister's Health Insurance
Nithya,23,Female,BC,Hindu,Farmer,12th Pass,187375.83,Married,Dindigul,5.0,BPL,No,Yes,No,0.0,Free Ration Scheme (PDS)
Rajan,51,Female,ST,Muslim,Unorganised Worker,No Formal Education,57552.24,Married,Salem,6.0,BPL,No,Yes,No,0.0,PMAY (Pradhan Mantri Awas Yojana)
Arjun,38,Male,OC,Others,Employee,12th Pass,300960.83,Married,Sivaganga,5.0,APL,No,Yes,No,0.0,Tamil Nadu Housing Board Scheme
Venkat,44,Male,ST,Muslim,Construction Worker,8th Pass,250350.38,Married,Dindigul,4.0,APL,No,Yes,No,,Amma Mini Clinic
Venkat,25,Female,MBC,Muslim,Student,Post Graduate,136802.02,Single,Tiruchirappalli,4.0,APL,No,Yes,No,0.0,Moovalur Ramamirtham Ammaiyar Higher Education Scheme
Vijay,47,Male,OC,Christian,Self-employed,Graduate,276863.85,Married,Erode,5.0,BPL,No,Yes,No,0.0,MSME Subsidy Scheme
,31,Female,MBC,Muslim,Homemaker,12th Pass,112504.02,Married,Tirunelveli,2.0,BPL,No,Yes,No,0.0,Micro Credit for Women SHGs
Vijay,24,Female,SC,Hindu,Homemaker,12th Pass,27097.12,Married,Nagapattinam,5.0,BPL,No,Yes,No,0.0,Anaithu Grama Anna Marumalarchi Thittam
Kumar,34,Male,SC,Muslim,Homemaker,10th Pass,91994.4,Married,Namakkal,4.0,BPL,No,Yes,No,0.0,Free Colour TV Scheme
Rajan,41,Female,ST,Others,Employee,Post Graduate,186832.49,Married,Kancheepuram,5.0,BPL,No,Yes,No,0.0,Amma Canteen Scheme
Sangeetha,35,Female,SC,Hindu,Farmer,12th Pass,381492.55,Married,Villupuram,2.0,BPL,No,Yes,No,0.44,Chief Minister's Green Tamil Nadu Mission
Geetha,49,Female,OC,Muslim,Homemaker,Post Graduate,146328.54,Married,Tiruchirappalli,3.0,BPL,No,Yes,No,0.0,Kalaignar Magalir Urimai Thogai
Anitha,31,Female,MBC,Christian,Employee,Post Graduate,55146.97,Single,Sivaganga,3.0,BPL,No,Yes,No,0.0,Amma Two Wheeler Scheme
Sangeetha,19,Female,SC,Christian,Homemaker,Graduate,167421.95,Married,Tirunelveli,6.0,BPL,No,Yes,No,0.0,Tamil Nadu Maternity Benefit Scheme
Vijay,26,Female,SC,Others,Homemaker,Graduate,105797.58,Married,Tirunelveli,6.0,BPL,No,Yes,No,0.0,Dr. Muthulakshmi Reddy Maternity Benefit Scheme
Kavitha,26,Female,BC,Christian,Student,Post Graduate,67868.78,Single,Dindigul,4.0,BPL,No,Yes,No,,Marriage Assistance Scheme (Moovalur)
Kumar,24,Female,ST,Others,Homemaker,12th Pass,20383.4,Married,Ramanathapuram,4.0,BPL,,Yes,No,0.0,Cradle Baby Scheme
Kumar,41,Female,SC,Others,Homemaker,10th Pass,69781.43,Married,Cuddalore,2.0,BPL,No,Yes,No,0.0,Free Sewing Machine Scheme
Sumathy,45,Male,ST,Muslim,Farmer,10th Pass,117131.23,Married,Krishnagiri,4.0,APL,No,Yes,Yes,3.78,PM Kisan Samman Nidhi
Sumathy,38,Male,ST,Muslim,Farmer,No Formal Education,24897.65,Married,Villupuram,4.0,BPL,No,,Yes,2.16,Free Distribution of Seeds and Fertilizers
Nithya,55,Male,SC,Others,Farmer,Graduate,159811.85,Married,Vellore,2.0,BPL,No,Yes,Yes,3.26,Free Borewell Scheme for Farmers
Murugan,65,Male,MBC,Others,Farmer,5th Pass,,,Erode,7.0,BPL,No,Yes,Yes,2.37,Crop Insurance Scheme (PMFBY)
Balu,59,Male,MBC,Christian,Farmer,8th Pass,372615.94,Married,Cuddalore,5.0,BPL,No,Yes,Yes,3.62,Kisan Credit Card Scheme
Sangeetha,34,Male,SC,Others,Farmer,8th Pass,185692.07,Married,Sivaganga,6.0,BPL,No,Yes,Yes,2.83,Solar Pump Scheme for Farmers
,49,Male,MBC,Others,Farmer,5th Pass,236674.02,Married,Vellore,5.0,BPL,No,Yes,Yes,3.14,Coconut Development Board Subsidy
Balu,35,Male,SC,Muslim,Fisher,5th Pass,31483.34,Married,Cuddalore,3.0,BPL,No,Yes,No,0.0,Free Boat and Net Scheme
Priya,30,Male,BC,Hindu,Fisher,,65729.02,Married,Krishnagiri,2.0,APL,No,Yes,No,0.0,Fishermen Accident Relief Scheme
Nithya,19,Male,MBC,Hindu,Fisher,No Formal Education,20366.43,Married,Dindigul,6.0,BPL,No,Yes,No,0.0,Fishermen Housing Scheme
Geetha,27,Male,BC,Others,Fisher,10th Pass,44830.62,Married,Madurai,5.0,BPL,No,Yes,No,0.0,Fishermen Saving-cum-Relief Scheme
Rajan,11,Male,BC,Christian,Student,No Formal Education,110467.82,Single,Tiruchirappalli,4.0,BPL,No,No,No,0.0,Chief Minister's Breakfast Scheme
,17,Female,BC,Muslim,Student,Post Graduate,42087.96,Single,Vellore,3.0,APL,No,Yes,No,0.0,Free Laptop Scheme
Kumar,24,Female,BC,Muslim,Student,Graduate,185100.66,Single,Kancheepuram,,BPL,No,Yes,No,0.0,Pudhumai Penn Scheme
Rekha,22,Female,OC,Muslim,Unemployed,Post Graduate,159165.67,Single,Coimbatore,3.0,BPL,No,Yes,No,0.0,CM Internship Programme
Murugan,35,Male,ST,Muslim,Unemployed,Post Graduate,28475.55,Single,Kancheepuram,3.0,BPL,No,Yes,No,0.0,SEED Scheme (Educated Unemployed)
Anitha,15,Female,SC,Muslim,Student,12th Pass,44788.46,Single,Cuddalore,3.0,BPL,No,No,No,0.0,Free Bus Pass for Students
Lakshmi,17,Female,SC,Christian,Student,,135524.63,Single,Krishnagiri,2.0,APL,No,Yes,No,0.0,Dr. Ambedkar Law Entrance Scholarship
Kavitha,42,Male,SC,Muslim,Farmer,Graduate,77748.69,Married,Namakkal,5.0,BPL,No,Yes,No,0.0,Free Housing Scheme (SC/ST)
Geetha,20,Male,SC,Muslim,Student,Post Graduate,77458.85,Single,Dindigul,2.0,APL,No,Yes,No,0.0,Adi Dravidar Welfare Scholarship
Divya,28,Female,SC,Hindu,Self-employed,12th Pass,47405.41,Single,Chennai,4.0,APL,No,Yes,No,0.0,SC/ST Entrepreneur Support Scheme
Murugan,36,Male,SC,Muslim,Self-employed,12th Pass,140824.65,Married,Tiruchirappalli,4.0,BPL,No,Yes,No,0.0,Inter-Caste Marriage Incentive
Geetha,54,Male,SC,Christian,Homemaker,8th Pass,48302.86,Widowed,Nagapattinam,1.0,BPL,Yes,Yes,No,0.0,Disability Pension Scheme
Rajan,27,Female,BC,Muslim,Student,Graduate,68784.67,Widowed,Dindigul,3.0,BPL,Yes,Yes,No,0.0,Free Tricycle and Aids Scheme
Rajan,22,Male,BC,Christian,Homemaker,No Formal Education,88345.63,Single,Salem,3.0,BPL,Yes,Yes,No,0.0,Transgender Welfare Scheme
Kumar,12,Female,SC,Others,Student,Graduate,81954.98,Single,Nagapattinam,3.0,BPL,Yes,No,No,0.0,Special School Assistance
Murugan,27,Female,BC,Hindu,Student,10th Pass,121180.09,Single,Sivaganga,4.0,APL,No,Yes,No,0.0,CM Youth Sports Incentive
Balu,22,Male,ST,Muslim,Unemployed,Graduate,78343.92,Married,Namakkal,3.0,BPL,No,Yes,No,0.0,Self-Employment Loan Scheme (NEEDS)
Murugan,53,Male,ST,Christian,Unorganised Worker,No Formal Education,79389.32,Married,Virudhunagar,4.0,BPL,No,Yes,No,0.0,Unorganised Workers Welfare Scheme
Anitha,52,Female,SC,Christian,Construction Worker,Post Graduate,117170.88,Married,Sivaganga,2.0,BPL,No,Yes,No,0.0,Construction Workers Welfare Scheme
Vijay,60,Male,SC,Others,Toddy Tapper,8th Pass,42667.62,Married,Kancheepuram,4.0,BPL,No,Yes,No,0.0,TASMAC Toddy Tappers Welfare Scheme
Divya,78,Male,BC,Muslim,Homemaker,10th Pass,17307.17,Widowed,Tiruchirappalli,4.0,BPL,No,Yes,No,0.0,Old Age Pension Scheme (IGNOAPS)
Karthik,44,Female,OC,Christian,Unorganised Worker,,38965.1,Widowed,Madurai,5.0,BPL,No,Yes,No,0.0,Widow Pension Scheme
Karthik,58,Female,MBC,Hindu,Homemaker,10th Pass,317502.41,Married,Dindigul,5.0,BPL,No,Yes,No,0.81,CMCHIS – Chief Minister's Health Insurance
Venkat,47,Male,OC,Christian,Construction Worker,Post Graduate,145568.14,Married,Salem,6.0,BPL,No,Yes,No,0.0,Free Ration Scheme (PDS)
Lakshmi,40,Female,ST,Muslim,Unorganised Worker,8th Pass,136479.34,Married,Villupuram,6.0,BPL,No,Yes,No,0.0,PMAY (Pradhan Mantri Awas Yojana)
Selvam,29,Male,OC,Muslim,Employee,12th Pass,223665.05,Married,Cuddalore,3.0,BPL,No,Yes,No,0.0,Tamil Nadu Housing Board Scheme
Sumathy,71,Female,MBC,Hindu,Unorganised Worker,5th Pass,15858.25,Married,Thoothukudi,5.0,APL,No,Yes,No,0.0,Amma Mini Clinic
Nithya,26,Female,ST,Muslim,Student,10th Pass,107831.04,Single,Tirunelveli,3.0,BPL,No,Yes,No,0.0,Moovalur Ramamirtham Ammaiyar Higher Education Scheme
Karthik,31,Female,MBC,Muslim,Self-employed,Graduate,295215.12,Single,Salem,4.0,BPL,No,Yes,No,0.0,MSME Subsidy Scheme
Divya,25,Female,MBC,Muslim,Homemaker,No Formal Education,97206.92,Married,Madurai,5.0,BPL,No,Yes,No,0.0,Micro Credit for Women SHGs
Nithya,54,Female,MBC,Hindu,Homemaker,Graduate,154535.47,Married,Erode,2.0,BPL,No,Yes,No,0.0,Anaithu Grama Anna Marumalarchi Thittam
Rekha,22,Female,BC,Hindu,Homemaker,5th Pass,100619.94,Married,Villupuram,7.0,BPL,No,Yes,No,0.0,Free Colour TV Scheme
Venkat,30,Male,ST,Muslim,Student,10th Pass,235017.39,Married,Salem,1.0,BPL,No,,No,0.0,Amma Canteen Scheme
Priya,52,Male,ST,Others,Employee,10th Pass,39636.73,Single,Coimbatore,2.0,BPL,No,Yes,Yes,2.36,Chief Minister's Green Tamil Nadu Mission
,29,Female,ST,Others,Homemaker,No Formal Education,170606.96,Married,Villupuram,6.0,APL,No,Yes,No,0.0,Kalaignar Magalir Urimai Thogai
Anitha,45,Female,SC,Christian,Employee,10th Pass,143121.25,Single,Sivaganga,2.0,APL,No,Yes,No,0.0,Amma Two Wheeler Scheme
Rekha,36,Female,MBC,Christian,Homemaker,5th Pass,182509.39,Married,Erode,5.0,BPL,No,Yes,No,0.0,Tamil Nadu Maternity Benefit Scheme
Meena,34,Female,BC,Muslim,Homemaker,5th Pass,182316.54,Married,Thanjavur,2.0,BPL,No,Yes,No,0.0,Dr. Muthulakshmi Reddy Maternity Benefit Scheme
Kavitha,28,Female,BC,Muslim,Student,Post Graduate,124702.48,Single,Virudhunagar,4.0,BPL,No,Yes,No,0.0,Marriage Assistance Scheme (Moovalur)
Venkat,34,Female,MBC,Others,Homemaker,Post Graduate,51605.05,Married,Vellore,5.0,,No,Yes,No,,Cradle Baby Scheme
Selvam,42,Female,SC,Muslim,Homemaker,Graduate,63968.61,Married,Villupuram,3.0,BPL,No,Yes,No,0.0,Free Sewing Machine Scheme
Meena,33,Male,BC,Muslim,Farmer,Post Graduate,107176.22,Single,Chennai,,APL,No,Yes,Yes,0.63,PM Kisan Samman Nidhi
